claim_id,policy_id,customer_id,loss_date,report_date,cause_of_loss,catastrophe_flag,first_line_of_address,county,state,zip_code,latitude,longitude,property_age,roof_age,roof_material,construction_type,square_footage,occupancy_type,property_value,policy_tenure_months,coverage_a_dwelling_flag,coverage_b_other_structures_flag,coverage_c_personal_property_flag,coverage_d_loss_of_use_flag,coverage_e_liability_flag,coverage_f_medical_payments_flag,coverage_a_limit,coverage_b_limit,coverage_c_limit,coverage_d_limit,deductible,annual_premium,policy_form,prior_claim_count_3yr,prior_total_paid_3yr,prior_same_cause_claim_count,prior_litigated_claim_count,initial_reserve,initial_estimate,days_to_first_inspection,inspection_completed_30_days,complaint_flag_30_days,litigated
CLM00067,POL00067,CUS00067,2022-08-14,2022-08-18,Hurricane,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,3,3,Flat/TPO,Masonry,1932,Owner Occupied,1149000,176,1,1,1,1,1,1,1153000,111000,626000,192000,5000,6190,HO6,0,0,0,0,82800,79300,1,1,0,0
CLM00068,POL00068,CUS00068,2022-09-23,2022-10-28,Freeze,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,53,3,Tile,Frame,4382,Owner Occupied,850000,55,1,1,1,1,1,1,641000,71000,391000,172000,5000,7020,HO3,0,0,0,0,25400,22000,18,1,0,0
CLM00069,POL00069,CUS00069,2022-06-07,2022-06-11,Lightning,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,34,20,Flat/TPO,Concrete Block,2780,Owner Occupied,730000,167,1,1,1,1,1,1,580000,79000,397000,147000,10000,6770,HO3,0,0,0,0,31900,37900,17,1,0,0
CLM00070,POL00070,CUS00070,2025-03-25,2025-03-31,Wind,0,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,26,26,Flat/TPO,Reinforced Concrete,2957,Owner Occupied,879000,161,1,1,1,1,1,1,708000,83000,353000,173000,10000,4800,HO5,1,79900,1,1,41300,48800,13,1,0,1
CLM00071,POL00071,CUS00071,2022-03-22,2022-03-28,Theft,0,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,65,27,Asphalt Shingle,Reinforced Concrete,3132,Owner Occupied,1347000,44,1,1,1,1,1,1,1281000,117000,786000,366000,2500,3100,HO3,2,137400,0,1,22300,25500,12,1,0,0
CLM00072,POL00072,CUS00072,2023-06-12,2023-06-17,Freeze,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,5,5,Concrete Tile,Reinforced Concrete,3418,Secondary Residence,451000,17,1,0,1,1,1,1,334000,0,161000,66000,1000,2880,HO3,1,131200,1,0,23700,19000,16,1,0,0
CLM00073,POL00073,CUS00073,2023-12-31,2024-01-01,Wind,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,21,15,Flat/TPO,Concrete Block,3729,Owner Occupied,492000,19,1,1,1,1,1,1,506000,49000,255000,126000,10000,4210,HO3,0,0,0,0,16700,18100,13,1,0,0
CLM00074,POL00074,CUS00074,2024-07-08,2024-07-12,Hail,0,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,13,13,Tile,Reinforced Concrete,3757,Owner Occupied,337000,41,1,1,1,1,1,1,328000,45000,148000,60000,1000,8090,HO3,2,146400,1,0,18400,17500,9,1,0,0
CLM00075,POL00075,CUS00075,2024-06-15,2024-06-21,Hurricane,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,71,12,Concrete Tile,Masonry,2160,Owner Occupied,1431000,162,1,0,1,1,1,1,1094000,0,653000,325000,5000,5010,HO3,0,0,0,0,71700,78800,2,1,0,0
CLM00076,POL00076,CUS00076,2025-03-02,2025-03-05,Wind,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,35,24,Asphalt Shingle,Concrete Block,3308,Owner Occupied,1006000,124,1,1,1,1,1,1,850000,111000,578000,208000,2000,5410,HO5,0,0,0,0,44600,37500,15,1,1,0
CLM00077,POL00077,CUS00077,2023-08-24,2023-09-30,Water,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,25,25,Tile,Reinforced Concrete,2358,Owner Occupied,1203000,186,1,1,1,1,1,1,1234000,176000,854000,238000,1000,8230,HO5,0,0,0,0,42900,22900,9,1,0,0
CLM00078,POL00078,CUS00078,2023-05-30,2023-05-31,Fire,0,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,28,19,Concrete Tile,Frame,883,Tenant Occupied,1073000,168,1,1,1,1,1,0,1013000,101000,556000,293000,7500,6040,DP3,2,35800,1,0,49500,57800,15,1,0,0
CLM00079,POL00079,CUS00079,2024-09-08,2024-09-09,Wind,0,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,10,10,Concrete Tile,Concrete Block,3119,Secondary Residence,698000,11,1,1,1,1,1,1,549000,55000,313000,100000,1500,4960,HO3,3,253500,0,0,41700,42100,15,1,1,1
CLM00080,POL00080,CUS00080,2024-03-16,2024-03-23,Hail,0,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,19,19,Tile,Frame,2934,Owner Occupied,378000,80,1,1,1,1,1,1,278000,30000,180000,76000,1000,8350,HO3,1,78700,0,0,38900,46400,15,1,0,0
