policy_id,customer_id,policy_effective_date,policy_expiration_date,policy_form,policy_status,annual_premium,deductible,wind_hail_deductible,hurricane_deductible,coverage_a_dwelling_flag,coverage_a_limit,coverage_b_other_structures_flag,coverage_b_limit,coverage_c_personal_property_flag,coverage_c_limit,coverage_d_loss_of_use_flag,coverage_d_limit,coverage_e_liability_flag,coverage_e_limit,coverage_f_medical_payments_flag,coverage_f_limit,first_line_of_address,county,state,zip_code,latitude,longitude,occupancy_type,property_value,property_age,roof_age,roof_material,construction_type,square_footage
POL00030,CUS00030,2015-01-14,2024-02-27,HO5,Active,7430,2500,2500,16300,1,543000,1,56000,1,259000,1,120000,1,300000,1,5000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,691000,49,14,Asphalt Shingle,Masonry Veneer,1192
POL00031,CUS00031,2008-09-28,2023-12-27,HO3,Active,4060,2500,2500,16400,1,548000,1,75000,1,325000,1,129000,1,100000,1,5000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,697000,34,5,Concrete Tile,Frame,1390
POL00032,CUS00032,2009-04-26,2023-02-01,DP3,Active,3280,2000,5000,7900,1,395000,1,54000,1,267000,1,118000,1,100000,0,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,435000,47,7,Asphalt Shingle,Frame,2355
POL00033,CUS00033,2018-11-19,2024-07-02,HO6,Active,9190,2500,2500,21100,1,1054000,1,96000,1,607000,1,191000,1,500000,1,2500,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,1206000,4,4,Flat/TPO,Concrete Block,3757
POL00034,CUS00034,2021-01-29,2025-07-03,HO6,Active,5980,7500,7500,37000,1,740000,1,100000,1,402000,1,154000,1,500000,1,2500,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Secondary Residence,973000,13,13,Metal,Frame,4350
POL00035,CUS00035,2012-11-25,2025-05-01,HO3,Active,4880,5000,5000,19300,1,966000,1,121000,1,657000,1,264000,1,300000,1,10000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,1064000,50,1,Asphalt Shingle,Concrete Block,3968
POL00036,CUS00036,2008-04-21,2024-07-17,DP3,Active,5230,7500,2500,17900,1,897000,1,119000,1,558000,1,244000,1,300000,0,0,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Tenant Occupied,1145000,11,11,Flat/TPO,Masonry,4500
POL00037,CUS00037,2013-05-05,2022-12-03,HO3,Active,6100,10000,10000,9500,1,474000,1,63000,1,289000,1,106000,1,100000,1,10000,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,487000,15,15,Asphalt Shingle,Reinforced Concrete,2974
POL00038,CUS00038,2020-05-22,2024-06-12,HO3,Active,7390,1500,2500,13600,1,271000,1,36000,1,134000,1,58000,1,500000,1,1000,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,285000,46,20,Metal,Masonry Veneer,1158
POL00039,CUS00039,2022-09-27,2023-11-18,HO3,Active,6710,2000,5000,24800,1,1241000,1,149000,1,775000,1,211000,1,100000,1,10000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Secondary Residence,1438000,66,31,Asphalt Shingle,Frame,1707
POL00040,CUS00040,2010-12-16,2023-01-03,HO6,Active,8890,10000,7500,9800,1,492000,1,73000,1,276000,1,104000,1,300000,1,10000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,673000,58,26,Metal,Masonry,4178
POL00041,CUS00041,2014-07-16,2025-01-23,HO6,Active,2470,2500,5000,17200,1,345000,1,48000,1,204000,1,56000,1,100000,1,2500,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,364000,34,10,Asphalt Shingle,Frame,1517
POL00042,CUS00042,2024-02-09,2024-12-06,HO3,Active,7560,10000,10000,15000,1,299000,1,36000,1,140000,1,61000,1,500000,1,2500,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Owner Occupied,409000,54,2,Asphalt Shingle,Concrete Block,3539
POL00043,CUS00043,2007-10-02,2022-11-06,HO6,Active,6960,5000,2500,56600,1,1133000,1,149000,1,696000,1,256000,1,500000,1,10000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,1238000,26,22,Metal,Frame,2139
POL00044,CUS00044,2007-10-08,2023-03-17,HO6,Active,6860,2500,5000,9000,1,300000,1,31000,1,146000,1,80000,1,100000,1,5000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Secondary Residence,358000,60,8,Concrete Tile,Concrete Block,2242
POL00045,CUS00045,2015-09-24,2025-02-03,HO3,Active,8280,5000,5000,12400,1,618000,1,75000,1,306000,1,94000,1,300000,1,5000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,810000,47,11,Concrete Tile,Masonry,2085
POL00046,CUS00046,2012-03-09,2025-09-12,HO3,Active,6640,2500,10000,52200,1,1043000,1,122000,1,591000,1,286000,1,100000,1,5000,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Owner Occupied,1398000,22,22,Flat/TPO,Masonry,1776
POL00047,CUS00047,2011-02-22,2023-03-26,HO3,Active,4800,1500,1500,30900,1,1030000,1,103000,1,470000,1,259000,1,300000,1,1000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,1309000,75,25,Concrete Tile,Concrete Block,2350
POL00048,CUS00048,2013-06-25,2026-02-13,HO3,Active,7590,7500,7500,51200,1,1023000,1,103000,1,530000,1,243000,1,300000,1,10000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,1047000,39,31,Flat/TPO,Masonry Veneer,3853
POL00049,CUS00049,2012-01-14,2023-01-13,HO3,Active,5840,5000,5000,21000,1,701000,1,101000,1,321000,1,175000,1,500000,1,2500,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,745000,33,22,Concrete Tile,Reinforced Concrete,2603
POL00050,CUS00050,2010-07-31,2023-10-01,HO3,Active,5660,1000,10000,36800,1,736000,0,0,1,406000,1,167000,1,300000,1,5000,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Owner Occupied,799000,40,32,Flat/TPO,Concrete Block,2475
POL00051,CUS00051,2019-02-05,2023-05-15,DP3,Active,3780,7500,2500,11100,1,555000,1,50000,1,273000,1,161000,0,0,1,2500,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,676000,20,20,Asphalt Shingle,Reinforced Concrete,3817
POL00052,CUS00052,2015-05-31,2023-01-27,DP3,Active,8320,1500,10000,16000,1,533000,1,62000,1,281000,1,159000,1,100000,1,1000,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,649000,7,2,Concrete Tile,Frame,4244
POL00053,CUS00053,2018-11-14,2025-03-17,HO5,Active,6900,10000,7500,13000,1,652000,1,84000,1,330000,1,168000,1,500000,1,5000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Secondary Residence,698000,44,23,Concrete Tile,Reinforced Concrete,3791
POL00054,CUS00054,2017-09-05,2024-11-21,HO5,Active,4300,5000,7500,6600,1,329000,1,41000,1,208000,1,65000,1,500000,1,1000,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,434000,46,23,Tile,Frame,4482
POL00055,CUS00055,2014-10-31,2024-03-18,HO5,Active,7540,2000,7500,36000,1,1200000,1,106000,1,612000,1,302000,1,100000,1,5000,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Owner Occupied,1328000,75,5,Concrete Tile,Masonry,963
POL00056,CUS00056,2012-01-09,2025-04-26,HO6,Active,4740,1000,5000,3600,1,178000,1,21000,1,117000,1,43000,1,500000,1,1000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,242000,59,9,Asphalt Shingle,Reinforced Concrete,1805
POL00057,CUS00057,2014-09-09,2025-07-16,DP3,Active,4470,7500,7500,6900,1,230000,1,32000,1,114000,1,62000,0,0,0,0,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Owner Occupied,255000,48,24,Asphalt Shingle,Concrete Block,1216
POL00058,CUS00058,2013-08-11,2023-05-28,HO6,Active,8400,7500,10000,8000,1,267000,1,39000,1,169000,1,65000,1,500000,1,10000,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Owner Occupied,267000,44,22,Concrete Tile,Concrete Block,2568
POL00059,CUS00059,2011-02-01,2025-07-07,HO5,Active,2380,2000,2000,13500,1,674000,1,99000,1,321000,1,160000,1,500000,1,2500,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,709000,50,4,Tile,Frame,4381
POL00060,CUS00060,2015-08-09,2025-08-13,DP3,Active,2240,2500,2500,8100,1,271000,1,33000,1,155000,1,80000,0,0,0,0,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,289000,59,26,Metal,Masonry,1280
POL00061,CUS00061,2021-01-02,2024-10-14,HO3,Active,3950,1500,1500,34400,1,1145000,1,163000,1,580000,1,298000,1,300000,1,1000,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,1209000,44,22,Concrete Tile,Frame,4024
POL00062,CUS00062,2021-03-14,2026-01-19,HO3,Active,8330,5000,2500,22400,1,748000,1,82000,1,400000,1,197000,1,300000,1,5000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Tenant Occupied,931000,15,15,Flat/TPO,Concrete Block,4277
POL00063,CUS00063,2016-01-08,2024-10-22,HO5,Active,5710,2000,5000,18400,1,920000,0,0,1,563000,1,175000,1,300000,1,2500,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Secondary Residence,1262000,5,5,Tile,Reinforced Concrete,3904
POL00064,CUS00064,2011-11-19,2025-09-02,HO5,Active,3910,1500,10000,28300,1,566000,1,63000,1,264000,1,125000,1,100000,1,1000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,776000,18,18,Metal,Masonry Veneer,1800
POL00065,CUS00065,2016-03-02,2025-12-20,HO3,Active,3210,1000,10000,17100,1,855000,1,85000,1,505000,1,227000,1,300000,1,1000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,1104000,50,2,Asphalt Shingle,Reinforced Concrete,2639
POL00066,CUS00066,2020-01-01,2023-02-27,HO5,Active,5790,1000,1000,11800,1,393000,1,57000,1,205000,1,110000,1,500000,1,1000,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,398000,46,14,Flat/TPO,Masonry,2895
POL00067,CUS00067,2007-12-14,2023-06-19,HO6,Active,6190,5000,7500,34600,1,1153000,1,111000,1,626000,1,192000,1,100000,1,10000,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,1149000,3,3,Flat/TPO,Masonry,1932
POL00068,CUS00068,2018-02-22,2022-11-29,HO3,Active,7020,5000,5000,32000,1,641000,1,71000,1,391000,1,172000,1,500000,1,10000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,850000,53,3,Tile,Frame,4382
POL00069,CUS00069,2008-07-07,2023-06-04,HO3,Active,6770,10000,10000,29000,1,580000,1,79000,1,397000,1,147000,1,100000,1,2500,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Owner Occupied,730000,34,20,Flat/TPO,Concrete Block,2780
POL00070,CUS00070,2011-10-25,2025-08-28,HO5,Active,4800,10000,10000,14200,1,708000,1,83000,1,353000,1,173000,1,500000,1,5000,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,Owner Occupied,879000,26,26,Flat/TPO,Reinforced Concrete,2957
POL00071,CUS00071,2018-07-22,2023-01-01,HO3,Active,3100,2500,7500,38400,1,1281000,1,117000,1,786000,1,366000,1,500000,1,5000,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Owner Occupied,1347000,65,27,Asphalt Shingle,Reinforced Concrete,3132
POL00072,CUS00072,2022-01-11,2024-02-19,HO3,Active,2880,1000,5000,16700,1,334000,0,0,1,161000,1,66000,1,300000,1,10000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Secondary Residence,451000,5,5,Concrete Tile,Reinforced Concrete,3418
POL00073,CUS00073,2022-06-01,2024-02-14,HO3,Active,4210,10000,7500,15200,1,506000,1,49000,1,255000,1,126000,1,100000,1,1000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,492000,21,15,Flat/TPO,Concrete Block,3729
POL00074,CUS00074,2021-02-06,2024-08-27,HO3,Active,8090,1000,7500,6600,1,328000,1,45000,1,148000,1,60000,1,300000,1,10000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,337000,13,13,Tile,Reinforced Concrete,3757
POL00075,CUS00075,2010-12-15,2025-04-11,HO3,Active,5010,5000,7500,32800,1,1094000,0,0,1,653000,1,325000,1,100000,1,5000,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,1431000,71,12,Concrete Tile,Masonry,2160
POL00076,CUS00076,2014-11-01,2025-12-20,HO5,Active,5410,2000,2000,42500,1,850000,1,111000,1,578000,1,208000,1,500000,1,1000,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,1006000,35,24,Asphalt Shingle,Concrete Block,3308
POL00077,CUS00077,2008-02-23,2024-06-06,HO5,Active,8230,1000,10000,24700,1,1234000,1,176000,1,854000,1,238000,1,500000,1,10000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Owner Occupied,1203000,25,25,Tile,Reinforced Concrete,2358
POL00078,CUS00078,2009-05-30,2023-09-23,DP3,Active,6040,7500,2500,30400,1,1013000,1,101000,1,556000,1,293000,1,100000,0,0,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,Tenant Occupied,1073000,28,19,Concrete Tile,Frame,883
POL00079,CUS00079,2023-10-10,2025-05-15,HO3,Active,4960,1500,5000,16500,1,549000,1,55000,1,313000,1,100000,1,100000,1,2500,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Secondary Residence,698000,10,10,Concrete Tile,Concrete Block,3119
POL00080,CUS00080,2017-07-16,2024-11-19,HO3,Active,8350,1000,1000,13900,1,278000,1,30000,1,180000,1,76000,1,100000,1,1000,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Owner Occupied,378000,19,19,Tile,Frame,2934
POL00081,CUS00081,2018-05-01,2023-05-05,HO3,Active,4970,2500,5000,13700,1,686000,1,61000,1,385000,1,168000,1,500000,1,2500,6970 SW 40th St,Miami-Dade,FL,33155,25.7421,-80.313298,Owner Occupied,836000,74,29,Flat/TPO,Masonry,1305
POL00082,CUS00082,2017-08-17,2024-06-20,HO6,Active,8870,2000,2500,3500,1,175000,1,24000,1,85000,1,38000,1,100000,1,10000,30 SW 1st St,Miami-Dade,FL,33130,25.765842,-80.208492,Owner Occupied,225000,14,14,Metal,Masonry,4289
POL00083,CUS00083,2016-07-17,2024-12-09,HO6,Active,5240,1000,2500,70100,1,1402000,0,0,1,891000,1,406000,1,300000,1,1000,5127 W Tyson Ave,Hillsborough,FL,33611,27.888982,-82.504054,Owner Occupied,1376000,55,23,Metal,Masonry Veneer,4370
POL00084,CUS00084,2009-11-28,2023-10-30,HO3,Active,3860,1500,2500,34800,1,695000,1,86000,1,409000,1,207000,1,100000,1,1000,2828 NW 1st Ave,Miami-Dade,FL,33127,25.79715,-80.197564,Owner Occupied,791000,73,15,Concrete Tile,Frame,3408
POL00085,CUS00085,2013-06-03,2025-08-01,HO5,Active,7160,7500,2500,46600,1,932000,1,110000,1,495000,1,165000,1,300000,1,1000,9931 W Flagler St,Miami-Dade,FL,33174,25.75642,-80.352414,Owner Occupied,978000,55,20,Metal,Reinforced Concrete,2307
POL00086,CUS00086,2020-06-06,2025-09-11,HO3,Active,5100,2500,5000,6900,1,345000,1,41000,1,227000,1,60000,1,300000,1,1000,55 NE 2nd St,Miami-Dade,FL,33132,25.784184,-80.187508,Owner Occupied,347000,46,20,Tile,Reinforced Concrete,4109
POL00087,CUS00087,2020-04-02,2026-01-21,HO3,Active,4130,7500,7500,7600,1,255000,1,30000,1,128000,1,62000,1,100000,1,5000,2050 Jake St,Orange,FL,32814,28.560782,-81.32269,Owner Occupied,287000,36,17,Metal,Masonry Veneer,2800
POL00088,CUS00088,2012-02-15,2025-04-15,DP3,Active,7690,5000,10000,14400,1,480000,1,58000,1,300000,1,84000,0,0,1,2500,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Owner Occupied,562000,16,2,Metal,Reinforced Concrete,3887
POL00089,CUS00089,2017-05-14,2022-05-29,HO3,Active,5670,5000,2500,32000,1,1066000,1,142000,1,621000,1,304000,1,500000,1,5000,12112 Sugarloaf Key St,Hillsborough,FL,33626,28.058486,-82.624672,Owner Occupied,1115000,50,27,Tile,Concrete Block,2625
POL00090,CUS00090,2019-12-07,2024-03-30,HO5,Active,3990,7500,7500,45100,1,902000,1,112000,1,510000,1,260000,1,300000,1,1000,901 W Chestnut St,Hillsborough,FL,33607,27.956886,-82.501454,Owner Occupied,1131000,31,8,Metal,Concrete Block,4209
POL00091,CUS00091,2020-10-29,2026-03-29,HO3,Active,8190,2000,10000,37400,1,1248000,1,157000,1,680000,1,202000,1,300000,1,10000,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Tenant Occupied,1440000,68,13,Asphalt Shingle,Concrete Block,2853
POL00092,CUS00092,2011-02-28,2022-11-17,DP3,Active,4370,1000,5000,18800,1,376000,1,42000,1,194000,1,94000,0,0,1,10000,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,Owner Occupied,485000,15,3,Tile,Reinforced Concrete,2514
POL00093,CUS00093,2011-03-23,2025-12-14,DP3,Active,1920,7500,2500,8900,1,443000,1,54000,1,213000,1,84000,0,0,0,0,101 W Beach Pl,Hillsborough,FL,33606,27.939852,-82.48549,Owner Occupied,552000,48,14,Asphalt Shingle,Concrete Block,4012
POL00094,CUS00094,2018-06-13,2024-12-27,HO3,Active,6980,7500,5000,11800,1,589000,1,82000,1,395000,1,161000,1,100000,1,5000,6904 Ralston Pl Dr,Hillsborough,FL,33614,28.00581,-82.507956,Owner Occupied,574000,15,15,Tile,Frame,4465
